state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
LA,23627487.47,29175257.44,19309875.66,23614066.49,31644780,71539212.52,40460911.27,47679080.02,33274939.71,34617584.14,22765952.02,25985770.27,17098181.07,13902796.15,26595494.06,5668397.067,10941613.97,13246749.83,12624510.95,16627451.58,11102244.7,4551827.65,13635488.9,24432672.73,53915354.4,52244961.21,33561626.72,36232310.49
MA,38228275.01,13821162.38,5366835.727,13391462.78,16815078.15,9560617.323,19063470.02,27474049.66,15667604.6,24522504.76,36920931.63,22531728.74,30394952.47,15338298.95,19585677.31,2400819.221,4862955.67,10298961.28,30547627.7,20748623.57,7840768.669,1095709.433,46650356.66,20421141.74,6088062.355,101087825.6,17679820.06,45914529.41
MD,25165677.21,30651772.03,20056092.49,24281666.74,32053908.7,71727589.98,40258781.61,46915740.73,21829198.39,41173202.71,42954283.49,62105386.12,14465021.6,35685425.01,43265487.22,29705529.6,15883828.78,16664334.82,8258526.961,14405003.92,19322774.3,10734678.31,18365470.84,31474791.06,34379346.01,40757096.9,49381400.8,53320354.63
ME,7117446.393,2619076.957,1032156.926,2599556.912,3289413.673,1874215.536,3744274.584,5411213.2,3092701.556,4851937.369,7301246.382,4466610.176,6066357.689,3087778.159,3972047.189,491158.6864,1001539.194,2123463.087,6292881.926,4257801.843,1600450.173,223527.5743,9498806.612,4146287.357,1235364.676,20294658.23,3553001.503,9272476.766
MI,53648003.43,42479357.68,59232905.58,67794379.46,56775078.22,26929003.48,58485489.79,76378043.94,61532015.04,54903552.29,28150770.01,60522209.17,16885362.16,19613992.56,22833698.94,41942351.26,23942752.16,12431486.14,34025738.07,23218255.14,29324393.07,51529538.25,31285673.33,31525165.18,70765172.6,51416649.32,72339357.44,24874114.11
MN,23138765.11,18448162.77,25765869.25,29531851.76,24816572.08,11850667.89,26112382.64,34618235.35,23108350.11,16578521.13,63311468.64,41002569.31,14359005.46,31771167.1,13664218.14,32590385.91,15303960.46,29295851.67,19707219.51,24800351.29,15464965.01,6880321.123,21942362.81,39156376.13,49688816.32,57309142.94,26838063.17,15406574.57
MO,28291897.02,22516620.42,31409487.74,35960334.74,30098805.42,14295005.34,31322096.78,41304843.3,27584867.01,19838524.28,75657615.22,48977006.11,17144461.35,37580643.67,16051087.55,38080601.73,17828475.21,34027362.77,22828011.92,28684835.93,17879902.45,7946427.356,25309677.91,45047970.41,56897662.51,65133514.13,30384010.37,17419953.54
MS,14588634.57,17943772.37,11828957.66,14439304.84,19174014.08,42874166.66,23984226.73,28007294.75,61517103.01,25321761.54,10499395.52,21634973.81,14097357.3,19947401.11,8362934.817,14014328.25,10277948.28,13720885.91,7639962.675,22024636.45,19472455.33,5787198.461,15501328.02,11523359.47,44779482.13,23286667.58,18969342.91,16724049.03
MT,2631084.009,4803092.105,5526550.635,3753200.721,4577934.069,3028683.384,6810362.33,11573180.84,6429386.408,5989375.04,10385307.65,6256659.448,5977540.702,9623457.614,5445275.057,4100743.571,2524191.07,4330701.673,907169.3911,2554879.934,6331458.911,707535.8546,4319412.877,8260944.165,7746553.224,6379414.434,6000016.129,10564165.54
NC,33726867.56,41414870.24,27348234.02,33428139.66,44537943.87,100044439.4,56267700.07,65934078.65,30755206.15,58139230.41,60872375.05,87498953.65,20288796.92,49649531.46,60088786.91,41219837.11,22072145.02,23222272.48,11608567.1,20402157.83,27637657.96,15511796.55,26788408.17,46296301.43,50859964.62,62018643.62,75432676.05,81603721.72
