Index,Building Code
0,No State-Level Code
1,Pre-ASHRAE 1999
2,Pre-ASHRAE 1999
3,Pre-ASHRAE 1999
4,Pre-ASHRAE 1999
5,Pre-ASHRAE 1999
6,Pre-ASHRAE 1999
7,Pre-ASHRAE 1999
8,ASHRAE 1999
9,ASHRAE 1999
10,ASHRAE 1999
11,ASHRAE 2001
12,ASHRAE 2001
13,ASHRAE 2004
14,ASHRAE 2004
15,ASHRAE 2007
16,ASHRAE 2007
17,ASHRAE 2010
18,ASHRAE 2010
