State,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
GA,20383682.71,569264.3676,2966454.957,51553.86098,2296757.556,3223646.289,1666737.537,1373966.757,12343274.41,5805955.768,92805.86738,1937059.943,7581992.773,574567.1516,4234673.195,3885152.655,3571906.992,23451374.44,1450037.15,5755892.067,21648543.12,936240.9799,4885262.691,11987040,4418229.481,6960524.514,14757498.01,16826285.04,1792691.737,12237954.82,12320028.19,5950693.965,7099802.755,1374618.129,9507765.901,9058945.965,2543957.488,12801201.98,13894193.1,19208518.86,23615925.67,5731466.022,5073927.062,2039495.879,12850155.02,8833444.581,5126866.887,9576488.002,18800185.18,33333030.53,20827728.83,12179609.34,11758323.33,10675441.13,27655324.8,44370171.29,20065785.83,9896168.556,27059098.38,22899921.43,22013242.53,26043234.59,25867469.1,28889017.83,41218844.93,34031867.13,17839778.92,25676654.16,17582947.87,42333726.25,29371125.58,30624523.3,44238504.41,37464868.78,23455869.9,30789543.61,37905867.97,25107168.87,30736583.02,40708693.81,94295159.89,52599667.35,60995225.41,28989943.42,55035594.55,58037097.28,84219779.98,19670241.6,48389621.53,58676044.08,40288218.68,21657217.93,22976257.82,11519473.66,20358645.88,27649716.3,15563944.36,26995476.67,46852740.93,51773694.3,63136667.1,76966261.12,83388012.73,82174248.7,80952249.39,79235873.78,86174433.68,93344236.64,91647886.24,86844618.7,66757386.7,54542469.05,55461984.71,50603471.75,54766354.52,62054307.29,67957410.35,73311887.73,76518864.48,78241044.27,77388420.81,76825421.54,75813828.51,74693680.36,73892074.38,73658606.55,72834610.86,72205115.75,71845395.15,71628266.03,71723486.24
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3009180.444,523420.2989,2947075.676,842353.4157,3158839.362,1675573.859,3543477.561,1238004.331,3516950.157,2218788.306,5409645.875,814011.9543,3202497.658,3374661.794,3532459.88,3484505.656,2627410.78,4068707.966,4877708.399,6011380.089,3236122.222,3670832.328,5542254.431,6093145.237,3761923.678,3116194.167,5734603.414,6591057.973,4469315.815,5437320.259,3786277.223,8376245.247,14035181.31,4835927.902,2967701.055,5132288.906,9103005.48,3144828.336,6838665.747,3600043.6,6292230.512,4126880.372,2768734.495,951711.9375,4131712.382,5914400.161,3046769.324,4454814.543,4173556.766,8458656.631,5124514.58,5240522.037,5135543.723,5864262.523,6652910.583,6748685.192,7036579.219,7317369.439,7270883.761,6794103.875,5054325.882,4324097.254,4698714.04,4696245.85,5154386.518,5843840.892,6385010.192,6866451.035,7164190.309,7318887.114,7218742.07,7147646.418,7023415.995,6880019.635,6753221.644,6681921.18,6557111.378,6444363.971,6357786.51,6285220.681,6245476.141
IA,30007348.73,1868210.226,11060506.48,1240794.168,7742985.024,7144359.275,12734836.16,18201544.65,2781664.396,14198714.24,8670422.26,12186756.17,16585733.26,3066702.595,5517960.824,3627660.666,4236885.016,8736446.931,11019158.99,2691642.213,33423073.53,2042007.07,3356316.761,17458441.43,7392792.096,17704324.36,7974313.843,11380930.29,5822631.537,25789552.02,8887846.465,6996510.869,2609896.691,6468727.916,828026.1463,8032225.802,10533369.91,5544377.989,14593486.16,12449849.11,5734461.553,2340533.208,8327427.735,355636.0557,621778.7965,5200554.347,4616833.976,4645942.75,9593208.196,9360105.53,23973771.45,8153932.427,17031916.53,14817667.71,25600999.89,14540674.05,9408508.261,13814557.99,5213676.178,25090449.78,10001725.63,11669482.77,8154824.127,8264190.466,25822127.24,16803243.04,17891531.63,20113792.69,23518962.88,30773329.57,20332642.25,24262336.46,20149865.95,16443758.98,44372884.21,16950791.56,13508411.59,18817721.56,21461684.36,17839956.9,8483606.365,18467750.01,24238987.9,16016954.58,11398511.32,42815133.76,27222870.91,9381405.002,20472886.23,8726942.374,20649168.16,9648224.208,18390058.08,12292853.28,15367987.13,9539534.288,4216776.462,13360890.25,23702418.39,29856035.32,34023672.21,15792161.81,9007188.76,16689733.6,24343868.1,23707123.09,24057107.27,24197976.06,24004179.11,23964669.28,19133962.54,16824801.62,16366978.33,15505039.25,16097589.16,17352705.92,18224388.95,19171276.91,19662564.57,19946936.34,19582773.55,19400318.85,19182320.58,18931523.63,18719586.38,18651071.74,18466248.77,18349977.17,18326492.32,18351319.85,18377391.52
ID,2751147.451,1753081.244,1866764.613,764306.1689,2524647.796,1738375.937,1172248.011,936408.4149,1927972.356,4758211.779,1572334.372,271934.4695,1679577.282,201028.3561,2864907.197,622634.2728,279046.5352,1085840.373,3679372.396,3776239.94,6387526.741,330592.9875,5672931.128,1567268.256,328846.8933,3309524.409,8202453.548,2114198.988,1129625.822,4437989.267,1220771.346,478101.7072,3766274.777,2153970.481,121137.7237,1452856.764,2805325.057,2393541.715,2747224.626,2745407.329,3058603.343,4873727.346,723219.3929,2011922.286,3437490.614,1651181.585,290891.3125,2263161.307,1527752.622,3676693.913,3565093.298,599794.8561,3346099.462,984397.325,3753076.47,1921158.896,3980865.667,1360956.816,3755288.928,2343639.738,5700211.372,850781.9647,3323988.464,3414131.522,3537639.44,3384948.352,2560232.664,3948365.9,4641581.436,5691974.335,2996966.782,3382846.244,5106718.987,5595723.869,3501928.289,2925676.465,5435198.578,6341343.124,4369075.918,5319374.557,3704812.827,8239314.944,13751887.52,7755005.894,7229224.301,12554146.14,7613613.634,7313539.013,11853876.55,6771666.909,5187977.112,3246224.133,5615816.948,1189435.776,3393242.918,8492760.842,958579.625,5951075.066,11561346.96,10983905,9172217.469,8732231.363,15531890.14,13385453.23,11236485.16,11508695.69,13548370.64,14658349.68,14696852.96,15368235.02,9187342.092,7257090.276,7047466.043,6865554.674,7443296.302,8408419.623,9196479.369,9896849.257,10303318.42,10510868.43,10389245.48,10331056.74,10215476.92,10064756.29,9947531.058,9884579.76,9730141.26,9593499.125,9506470.722,9452177.286,9464186.829
IL,64937462.87,4122310.305,24848806.63,2838099.786,18065798.24,16935136.57,30537147.77,44202578.43,6858932.84,35557463.86,22057429.7,31195711.54,42414064.69,7930852.134,14417973.77,9496927.374,11187801.6,23154151.75,29410983.69,7232020.609,92790807.88,5818065.844,9618308.081,50885057.34,22040907.01,53295341.48,24247553.81,35056622.23,18005002.66,79737940.1,27449979.14,21668887.61,8111756.047,20139911.2,2563912.036,24812703.87,32914157.07,17438822.2,46027410.63,38979884.71,17867922.18,7512068.647,27508850.05,1182558.453,2085836.823,17127128.94,15261565.09,15445120.96,32261547.97,31478710.22,79802977.11,27387491.8,58087526.43,51092490.61,90198191.55,51209876.69,33171692.09,49174943.55,19033383.56,91811371,36558156.66,42706242.11,29974008.86,30893046.54,97780039.15,64740827.16,69771753.36,78911317.01,92181198.22,120710937.8,79954699.8,95310112.78,79266606.4,64606557.28,174273279.1,66440176.06,52779744.76,73540125.51,83936597.09,69731577.78,33268520.38,72674056.74,95870438.27,77589152.05,69238069.44,35357311.28,75503827.6,20935462.72,24235952.82,28155108.77,51567066.61,29398860.63,15273268.95,41869578.28,28597393.73,36079002.04,63242744.49,38402745.59,38746707.6,87011939.79,64237740.03,90420902.44,31107341.29,62112876.79,93122481.1,95778872.79,104235654.1,102119716.7,107015617.2,88901944.82,75975275.33,61792738.43,62122817.7,64054592.81,67742222.66,73969976.87,78867479.89,83602936.72,86474089.39,88051451.78,87031593.4,86484498.49,85589067.28,84618030.78,84028049.32,84267328.04,84076900.05,84088359.94,84401945.88,84725469.15,85146069.51
IN,33867550.02,2131621.995,12777821.84,1451790.741,9150164.039,8514421.841,15317465.53,21994559.37,3354286.301,17104883.82,10557834.65,14906965.86,20268217.25,3757209.6,6742863.162,4405016.524,5165932.614,10672989.32,13498586.94,3287899.232,41040749.04,2524724.986,4098632.288,21900444.88,9427337.359,22752281.7,10322014.79,14877733.95,7633588.775,33819957.24,11642181.11,9181158.703,3440366.028,8566203.22,1094907.88,10603556.41,14055688.5,7488683.48,19812968.77,16812236.71,7759718.767,3272612.27,11973878.26,525530.7439,929560.6519,7721966.961,6928058.119,6997615.645,14625587.17,14370557.67,36230076.7,12762134.97,26903423.36,23570744.15,41569940.42,23680836.46,15517251.14,23036131.5,8823588.597,42411962.19,16906470.22,19790697.56,13995761.29,14232438.56,45111171.69,29714693.45,32116017.02,36404362.66,42549702.62,55914579.92,37388420.52,44695949.02,37354067.77,30652959.66,82971241.5,31571958.18,25076115.25,35042247.16,40232087.13,33658947.89,15984889.63,34804640.71,45889273.59,37067076.22,33115957.44,16932132.24,36163760.08,10058664.58,11685275.85,13630424.95,25024948.24,14276579.88,7414858.157,20359815.43,13918689.01,17582178.57,30872208.08,18774920.88,18964788.28,42635848.35,31471983.06,44367220.19,15288404.48,30653936.66,46103537.89,47689404.36,52205966.85,51314565.1,53938380,44874307.79,38396040.16,31291507.86,30812045.68,31805366.12,33673306.36,36810032.05,39292295.48,41700842.39,43185133.76,44027308.64,43572657.4,43354427.35,42960163.11,42526792.76,42283317.92,42456245.92,42413116.72,42471334.46,42682935.51,42900117.22,43166723.08
KS,19812113.26,1249947.569,7491477.159,838389.5641,5345179.987,5024639.834,9065086.623,13234501.57,2041140.226,10589954.21,6584539.706,9125165.579,12160930.35,2212549.421,3922519.627,2586586.452,3079587.72,6411128.982,8103839.171,1986769.116,24635590.45,1509235.803,2486826.134,13016437.98,5520155.09,13312893.27,6020082.326,8560175.345,4396680.957,19572802.28,6761945.411,5302351.71,1974461.82,4866453.827,616236.1918,5957340.214,7846499.943,4119441.772,10778348.64,9011319.355,4041473.101,1658386.637,6009131.945,273659.9641,480723.372,3900415.76,3377942.978,3431220.373,7137377.077,6989217.667,17498569.94,6075723.436,12822581.48,11238657.06,19907555.9,11360071.21,7375741.4,10823777.4,4123963.948,19859058.82,7902016.006,9243280.441,6554040.436,6704512.338,20840064.1,13517248.32,14394135.22,16021123.79,18500236.82,24328825.66,16185345.08,19114096.69,15895486.63,13009335.66,35118801.32,13418832.14,10706851.75,14988225.48,17178186.43,14384024.67,6881895.516,15145478.89,20151972.82,13478094.67,9665849.623,36728366.05,23719048.92,8290887.968,18207044.68,7789097.32,18427445.02,8625001.075,16549815.97,11103370.64,13954147.66,8686884.222,3846379.064,12246590.26,21860273.58,27615219.65,31289458.17,14554237.11,8329711.248,15447391.84,22536710.07,21954512.14,22284968.45,22459887.05,22343885.56,22383028.14,17937485.65,15775027.84,15316137.16,14542218.36,15134779.02,16356799.43,17225359.97,18172744.08,18694893.74,19025592.55,18740398.74,18630648.06,18488174.99,18315466.07,18181398.33,18188599.35,18081275,18039625.74,18088725.77,18185326.42,18283563.45
KY,19722590.3,543857.5178,2801723.402,48147.70222,2121638.212,2948699.943,1509931.735,1233553.388,10984203.69,5126343.891,81497.58942,1702620.01,6649826.995,499093.457,3653473.452,3319662.464,3015359.859,19679645.59,1195627.368,4839361.519,17912208.78,769201.6954,4036726.338,10063594.85,3829636.581,6084121.323,13090914.05,14847406.83,1585201.408,10985914.66,11104960.12,5397141.038,6473278.424,1257193.122,8731490.818,8424359.902,2364564.918,11734786.4,12586134.16,17392328.78,21647300.89,5091431.282,4422491.116,1692561.603,10645074.89,7355067.514,4366218.221,8203819.031,16250420.88,28561144.05,17683693.42,10144500.44,9579883.962,8710175.829,22280886.33,35510780.65,15712144.64,7694100.248,21062563.17,17755135.56,16960748.37,20019584.53,19676027.55,21769281.91,30588097.77,25008387.1,12930957.02,18452713.09,12652702.05,30177656.26,20618428.62,21436958.31,30682591.67,25720031.07,16028390.53,21084013.34,26063598.25,17189755.2,20952330.85,27447240.18,63186329.49,34671253.93,39766518.5,88512072.32,36296946.66,14989146.32,30762547.58,20059610.69,28448217.98,11946331.32,20077815.72,14734064.74,19745880.69,10993028,31614980.73,27899315.91,8288204.424,22174303.07,16477989.19,64062152.39,33102710.95,27048704.24,23926863.48,25510206.69,27061817.58,27568413.59,29140286.63,29725626.53,30616633.23,30381554.76,24047215.44,19960043.89,21357635.84,18002128.43,18990044.64,20802936.79,22219821.09,23613037.45,24339493.45,24725773.12,24423994.31,24197319.65,23899849.39,23637296.33,23514304.52,23624888.55,23598739.18,23663229.74,23777191.32,23904288.3,24037558
LA,12707665.26,355192.7915,1853229.995,32237.64453,1438480.33,2022914.42,1048300.86,866065.2733,7800095.156,3677105.32,59093.72839,1241799.018,4842162.051,363072.6201,2654298.04,2426492.139,2249951.218,14591063.13,860851.7048,3521723.509,13413810.21,583216.5564,3082740.807,7722185.888,2933885.947,4761066.369,10313274.14,11867449.05,1274583.446,8793790.48,8911910.428,4322597.121,5212972.721,1014887.554,7063461.712,6830230.663,1918646.245,9513438.547,10271184.48,14369449.69,17944771.99,4478440.264,4025621.159,1612113.075,10147414.6,6879267.999,4042033.239,7548215.941,14975538.73,26405775.16,16244182.96,9551214.461,9323982.952,8599160.843,22135008.72,35950089.28,16438655.13,8185492.579,22442548.74,18992489.13,18183396.12,21461310.61,21177178.31,23649966.87,33364343.08,27541994.87,14397014.57,20815739.27,14284150.71,34031328.8,23332328.74,24117731.02,34600257.65,28904309.99,17922878.58,23627487.47,29175257.44,19309875.66,23614066.49,31184403.4,72595348.8,40460911.27,46990810.65,33274939.71,34617584.14,22765952.02,25985770.27,17098181.07,13902796.15,26595494.06,5668397.067,10941613.97,13246749.83,12624510.95,16627451.58,11102244.7,4551827.65,13635488.9,24432672.73,53915354.4,52244961.21,33561626.72,36232310.49,38698229.98,41150112.08,39168211.71,37885390.15,39144101.94,44762543.68,44256108.94,37563445.95,29202912.35,31613551.33,24102877.1,25655883.34,28642324.89,31003463.55,33086092.59,34235417.45,34728620.26,34108096.56,33610616.88,32922785.7,32190509.56,31600268.12,31233290.24,30661517.88,30183528.46,29832306.08,29550406.07,29400719.53
MA,42482529.69,3712154.225,2712495.948,12211904.71,18744181.5,24665713.2,18679693.21,3882829.304,4900926.493,5910372.328,30897675.25,27764690.61,3920228.884,5671352.51,1352595.783,5289300.503,11983969.97,18402362.45,9874859.52,13577042.5,45539914.85,14027052.77,4691359.767,9443286.393,43139156.2,27422240.01,22251131.3,18923525.05,16998388.68,66162268.74,27287659.41,12405975.07,7548137.66,8296613.595,27944.28922,4278457.655,5968197.147,12050517.55,25923171.13,6092468.095,5182439.738,5535521.492,4819923.83,4788842.762,4039710.213,10838162.46,10530081.65,3228215.189,5161786.01,7073626.921,26627185.59,10220407.98,22697917.85,9995241.482,23459179.9,9273455.787,35318238.23,36655779.2,21802462.96,19380708.27,27963501.87,23488602.91,22964653.44,25968101.2,26846664.39,34739948.56,38014697.53,28521676.84,23644905.23,37231486.94,34237385.32,18640532.64,34103025.23,20587178.97,21577235.66,38228275.01,13821162.38,5366835.727,13391462.78,16823549.47,9555803.178,19063470.02,27361464.7,15667604.6,24522504.76,36920931.63,22531728.74,30394952.47,15338298.95,19585677.31,2400819.221,4862955.67,10298961.28,30547627.7,20748623.57,7840768.669,1095709.433,46650356.66,20421141.74,6088062.355,101087825.6,17679820.06,45914529.41,42942405.14,39993811,41124466.5,46654823.16,40232361.99,42961896.83,34538847.66,28478644.8,26921770.83,30267071.27,27867841.59,28243139.75,30481327.75,31680973.88,33404566.92,34318927.22,35105391.14,34571197.61,34480051.18,34251442.03,33935415.1,33633092.87,33559672.68,33285180.37,33132372.5,33147636.08,33291020.74,33493161.19
MD,10917206.64,301863.5622,1557227.982,26568.03833,1170990.342,1643036.86,845534.7361,689451.5824,6159502.646,2900727.514,46154.78966,969995.2211,3810829.701,287598.9255,2118862.056,1937045.861,1769694.816,11607820.69,723292.9272,2898001.407,10831670.24,471120.2502,2486293.895,6172067.649,2325622.847,3756703.484,8106593.537,9306547.832,994224.4906,6833525.584,6926311.383,3372195.588,4059103.585,789356.9864,5485249.559,5300479.72,1490666.829,7393252.641,7938254.616,11038741.77,13924234.47,3448975.936,3159148.105,1312945.113,8569467.358,5936165.387,3501197.806,6579445.302,13100712.04,23348158.83,14184297.69,8419831.889,8201955.447,7702039.736,20614810.41,33460673.73,15240455,7549573.092,21211943.05,18151799.15,17312468.95,20493576.66,20462037.82,23070206.84,33453261.97,27909647.73,14825301.04,21665959.6,14986192.19,36033727.27,25120102.43,26118635.47,37468734.41,31266469.35,19324323.24,25165677.21,30651772.03,20056092.49,24281666.74,31587579.98,72786507.29,40258781.61,46238490.52,21829198.39,41173202.71,42954283.49,62105386.12,14465021.6,35685425.01,43265487.22,29705529.6,15883828.78,16664334.82,8258526.961,14405003.92,19322774.3,10734678.31,18365470.84,31474791.06,34379346.01,40757096.9,49381400.8,53320354.63,52378826.18,51205834.37,49643839.21,52964730.09,56439971.28,54815742.42,51726569.67,39768708.15,32387414.27,33938344.28,30875210.28,33322808.86,37657448.58,41133773.46,44263414.58,46084355.55,47002784.94,46371492.89,45914135.21,45189362.63,44401849.16,43805906.17,43548376.33,42947934.71,42469816.53,42158142.2,41938192.95,41909395.26
ME,10590157.15,928702.8644,667676.6987,2961094.541,4539261.198,5908982.984,4382844.013,891721.0873,1108022.446,1318961.255,6840644.297,6163547.93,858119.869,1224460.092,287184.8031,1104971.279,2492640.022,3825210.173,2031094.245,2733343.826,9044635.329,2751446.696,910193.9898,1817896.641,8287092.903,5228313.455,4207235.842,3566925.395,3212643.059,12468982.78,5136500.595,2356784.812,1444407.653,1590733.246,5381.141873,823576.0072,1151156.281,2328255.113,5006468.102,1185697.724,1018965.108,1074564.664,925381.2571,906696.5624,771900.7348,2063920.487,1949494.423,601942.3081,969629.4645,1347286.461,5210654.969,2011580.084,4466364.479,1898804.718,4429054.942,1774151.517,6773360.756,7012862.607,4108088.829,3624650.736,5262504.041,4438253.457,4378200.838,4904482.726,4988536.255,6332006.043,6888522.98,5147814.845,4243740.588,6587415.098,5980212.055,3298849.068,6123374.463,3723654.412,3957905.201,7117446.393,2619076.957,1032156.926,2599556.912,3291070.855,1873271.796,3744274.584,5389038.775,3092701.556,4851937.369,7301246.382,4466610.176,6066357.689,3087778.159,3972047.189,491158.6864,1001539.194,2123463.087,6292881.926,4257801.843,1600450.173,223527.5743,9498806.612,4146287.357,1235364.676,20294658.23,3553001.503,9272476.766,8735576.919,8193556.955,8469772.852,9633759.927,8301246.037,8836216.106,7045908.749,5765722.822,5428004.181,6198465.681,5715170.856,5798839.674,6263866.895,6514457.223,6870987.331,7058859.44,7218028.729,7103626.186,7078176.698,7021970.655,6945845.253,6870869.698,6840950.896,6769191.958,6721579.466,6707184.248,6718303.875,6740165.232
MI,32589783.04,2055282.916,12329826.53,1401979.879,8870128.414,8333470.181,15104643.07,22109499.21,3410671.39,17698892.11,11020931.71,15801058.69,21811076.16,4125746.094,7512262.319,5002982.567,5979072.163,12657211.74,16399845.73,4062920.214,51847542.81,3284857.239,5449176.553,29250988.68,12873233.84,31593501.77,14594437.05,21395775.96,11086765.76,50268659.32,17359131.24,13525084.27,5012176.048,12392993.76,1582816.514,15396160.23,20525167.59,11026609.23,29584870.09,25472786.51,12013663.05,5141468.372,18945837.02,823570.2148,1477298.862,12336670.3,10992818.31,11250995.68,23437908.97,22989987.67,58514268.07,20243064.19,43131090.98,38450410.47,68886772.75,39540429.43,25990873.54,38498670.64,14761172.55,71409865.67,28369651.77,33170801.18,23354871.86,23839935.62,75746159.92,50097651.41,54529369.01,61987184.42,72670479.64,95470879.05,63917688.11,76352469.9,63606208.48,52126597.98,141086608.5,53648003.43,42479357.68,59232905.58,67794379.46,56695685.64,26966712.93,58485489.79,76498862.79,61532015.04,54903552.29,28150770.01,60522209.17,16885362.16,19613992.56,22833698.94,41942351.26,23942752.16,12431486.14,34025738.07,23218255.14,29324393.07,51529538.25,31285673.33,31525165.18,70765172.6,51416649.32,72339357.44,24874114.11,49672231.52,74375914.57,76343693.69,82736570,80445736.31,83507436.44,68788463.52,58431963.29,47421280.03,50224867.68,51811200.43,54811504.59,59861323.92,63826471.15,67650613.84,69953560.16,71196384.37,70326282.78,69826182.67,69031572.62,68164235.7,67592077.61,67674894.25,67409770.54,67303870.95,67436831.85,67574364.32,67786349.54
MN,23591613.48,1514198.23,9268525.229,1063937.624,6808366.127,6401164.959,11429141.57,16378927.19,2531064,13100118.26,8117819.046,11482319.4,15625085.26,2913700.079,5272508.332,3485068.764,4115627.364,8542059.153,10737938.43,2654305.436,33464852.37,2064912.841,3388110.535,17904801.58,7701334.246,18528629.53,8394014.572,12066303.81,6160106.508,26963710.48,9250542.422,7368605.726,2774522.557,6930224.336,889055.9619,8646417.394,11477972.63,6094820.639,16109008.58,13689893.6,6306325.476,2553821.461,9088812.067,392662.4317,682578.5484,5716553.89,5116507.535,5177383.79,10819237.56,10656287.71,27371197.35,9378424.381,19652211.38,17190523.59,30348786.24,17216505.44,11277679.16,16652747.74,6378474.585,30947033.33,12380671.25,14502169.27,10267503.53,10557127.68,33191820.63,21772009.74,23437775.93,26340183.98,30811272.89,40654170.32,27390460.53,32785499.86,27261209.55,22332961.91,60410322.47,23138765.11,18448162.77,25765869.25,29531851.76,24781869.32,11867262.71,26112382.64,34672996.31,23108350.11,16578521.13,63311468.64,41002569.31,14359005.46,31771167.1,13664218.14,32590385.91,15303960.46,29295851.67,19707219.51,24800351.29,15464965.01,6880321.123,21942362.81,39156376.13,49688816.32,57309142.94,26838063.17,15406574.57,28668524.49,41932945.07,40942089.16,41647677.87,42012293.07,41750568.62,41730203.84,33316856.85,29365497.08,29926816.26,28574194.69,29905315.07,32500478.65,34416643.94,36508760.29,37762518.46,38636278.49,38256439.71,38228521.56,38128781.96,37960298.62,37866710.81,38064475.21,38023201.92,38120897.78,38412907.34,38809956.84,39216065.94
MO,41803155.47,2624051.004,15664902.74,1771923.471,11148918.31,10353019.95,18538562.3,26616782.93,4084786.456,20943582.54,12846078.94,17973975.19,24336415.98,4535526.744,8182536.431,5354095.962,6289349.096,12726897.92,15584306.1,3814008.365,47405059.29,2909032.922,4751095.843,24866580.09,10716493.67,25721239.26,11659810.87,16672759.82,8558080.068,37971446.1,13092964.93,10460939.5,3927952.191,9782168.508,1248307.147,12086526.78,15957488.65,8420884.743,22124286.75,18689594.91,8557615.861,3580799.701,13073276.26,564537.9548,961987.1862,7922508.269,7010401.327,7119828.567,14501098.04,14094619.73,36202678.1,12509758.77,25761908.78,22657673.72,39639628.93,22437904.63,14490425.41,21306768.57,8059249.808,39148089.1,15666227.24,18317192.48,12868407.16,13093482.86,41285323.2,27181356.73,29147145.07,32937974.05,38221472.43,50150756.15,33662317.64,40206850.36,33524180.99,27462461.06,74213433.37,28291897.02,22516620.42,31409487.74,35960334.74,30056716.14,14315023.04,31322096.78,41370181.5,27584867.01,19838524.28,75657615.22,48977006.11,17144461.35,37580643.67,16051087.55,38080601.73,17828475.21,34027362.77,22828011.92,28684835.93,17879902.45,7946427.356,25309677.91,45047970.41,56897662.51,65133514.13,30384010.37,17419953.54,32389003.21,47372897.73,46305780.04,47125488.95,47501908.57,47136651.99,47102415.37,37618380.55,33023654.1,32433104.49,30843101.58,32150351.78,34801717.01,36708399.72,38789078.88,39968354.07,40741293.89,40195678.22,40025717.02,39787216.07,39483342.91,39264030.59,39351690.04,39195377.19,39185223.84,39377198.87,39677317.91,39987454.8
MS,14259396.06,396950.5842,2063005.335,35775.65459,1590507.013,2228792.119,1151035.696,947790.2421,8508753.459,3998908.295,63879.36326,1326050.869,5148161.759,384095.9334,2794640.235,2524657.917,2279967.243,14794281.27,893885.5331,3589911.777,13317627.35,575638.2146,3025073.288,7539580.336,2853692.055,4611377.669,9953209.704,11419291.34,1223328.395,8422815.618,8492775.449,4058031.384,4847701.779,946389.6337,6575883.974,6318269.927,1770006.687,8792659.641,9560966.913,13347457.98,16475875.04,3937565.836,3494353.009,1432989.4,8767722.268,5919172.547,3263989.283,6166766.571,11975816.03,20902065.76,13106170.6,7460916.172,7060243.248,6315852.608,15846915.71,25138215.86,11309707.98,5486776.406,14838401.48,12657712.52,12159483.19,14364595.01,14212611.91,15858557.75,22170442.96,17911088.36,9249340.595,13163756.24,8887206.865,20959067.06,14192807.91,14725042.73,21221253.31,17926421.2,11158165.54,14588634.57,17943772.37,11828957.66,14439304.84,18895065.46,43507119.71,23984226.73,27602996.61,61517103.01,25321761.54,10499395.52,21634973.81,14097357.3,19947401.11,8362934.817,14014328.25,10277948.28,13720885.91,7639962.675,22024636.45,19472455.33,5787198.461,15501328.02,11523359.47,44779482.13,23286667.58,18969342.91,16724049.03,17772215.37,18856719.03,19153043.27,20063308,20449552.72,21038336.09,20822472.42,16432748.38,13606405.67,14848199.51,12501407.78,13172000.92,14411824.97,15374023.81,16316852.79,16795941.19,17038957.71,16808143.45,16629635.66,16403172.62,16201711.99,16096531.35,16151484.32,16112388.94,16134355.67,16189662.63,16252853.63,16319213.47
MT,4135160.28,2599739.799,2532796.208,997844.165,3230226.219,2155303.499,1440701.755,1122337.884,2292365.756,5553797.028,1816070.095,314746.3101,1936894.136,234623.3914,3372234.514,741156.0252,335544.846,1327722.49,4551519.927,4755924.83,8010224.066,414951.1981,7065141.29,1933922.756,407648.9138,4060998.988,9876423.659,2492579.12,1361085.901,5202475.114,1472026.299,568667.2288,4430911.503,2511418.168,139577.2926,1661270.728,3139697.135,2615428.225,2956077.961,2924570.188,3269541.505,5282303.292,783739.8442,1951564.618,3047605.1,1553478.532,293748.791,2302181.33,1502798.405,3670243.573,3583220.891,606923.1481,3431604.559,1017430.792,3903199.529,1977114.98,4158356.493,1413953.576,3871551.743,2386445.943,5768579.724,860925.4159,3382304.051,3443733.819,3641230.639,3514372.848,2634875.015,4051516.243,4729285.737,5732923.791,2918761.465,3254909.923,4808941.85,5200225.191,3191730.75,2631084.009,4803092.105,5526550.635,3753200.721,4490509.266,3087648.199,6810362.33,11354715.61,6429386.408,5989375.04,10385307.65,6256659.448,5977540.702,9623457.614,5445275.057,4100743.571,2524191.07,4330701.673,907169.3911,2554879.934,6331458.911,707535.8546,4319412.877,8260944.165,7746553.224,6379414.434,6000016.129,10564165.54,9028784.605,7508275.119,7575295.653,8788518.26,9395356.393,9352825.802,9728311.389,5793196.668,4570403.036,4428276.265,4279251.483,4601695.925,5155761.295,5591930.765,5966981.138,6159043.429,6228538.689,6101902.954,6012566.316,5890118.516,5748174.738,5626234.981,5534915.849,5392813.067,5261250.754,5157473.965,5071499.124,5020811.023
